iter	MAE
0	4.791787057
1	4.47640174
2	4.326387844
3	4.285679382
4	4.208088553
5	4.120916006
6	4.068357384
7	4.028888234
8	3.988561014
9	3.97037491
10	3.942102284
11	3.92843742
12	3.924794919
13	3.9123246
14	3.901375446
15	3.888465635
16	3.881201124
17	3.874122558
18	3.831893678
19	3.81557867
20	3.799128504
21	3.795270993
22	3.787570378
23	3.772466203
24	3.768843662
25	3.670680599
26	3.658746152
27	3.655211583
28	3.632022198
29	3.622063039
30	3.616758468
31	3.594289244
32	3.58550981
33	3.568178267
34	3.563350773
35	3.542384288
36	3.466335195
37	3.462093393
38	3.447527665
39	3.442130894
40	3.413548917
41	3.411686506
42	3.401130668
43	3.396136676
44	3.381720987
45	3.360495092
46	3.348160449
47	3.341490788
48	3.241886465
49	3.236360761
50	3.231889374
51	3.219267989
52	3.206288851
53	3.203312566
54	3.200108787
55	3.197921219
56	3.194914375
57	3.191391195
58	3.184078431
59	3.181148628
60	3.173408837
61	3.17076776
62	3.163972626
63	3.15895966
64	3.15137332
65	3.145875514
66	3.142452671
67	3.141370131
68	3.125130994
69	3.122923715
70	3.121073735
71	3.118657604
72	3.117335426
73	3.092847188
74	3.074910943
75	3.073384998
76	3.070430434
77	3.070010886
78	3.067932734
79	3.066613531
80	3.066459642
81	3.051333032
82	3.043663433
83	3.043355221
84	3.03481685
85	3.033645756
86	3.032066918
87	3.028320151
88	3.026507266
89	3.02605276
90	3.02487629
91	3.024619953
92	3.022986678
93	3.01981149
94	3.019102497
95	3.018807892
96	3.001296771
97	3.000103829
98	2.999580859
99	2.998710125
