iter	Passed	Remaining
0	8	1750
1	18	1794
2	26	1723
3	33	1661
4	41	1620
5	49	1610
6	57	1588
7	65	1565
8	72	1547
9	80	1536
10	88	1525
11	96	1506
12	104	1506
13	112	1492
14	119	1476
15	127	1461
16	134	1444
17	141	1435
18	149	1424
19	156	1405
20	163	1393
21	172	1399
22	180	1391
23	188	1379
24	195	1368
25	203	1359
26	210	1346
27	217	1337
28	224	1325
29	232	1315
30	239	1304
31	246	1292
32	253	1281
33	260	1269
34	267	1259
35	274	1252
36	282	1243
37	329	1403
38	435	1796
39	451	1806
40	462	1791
41	473	1781
42	486	1775
43	495	1755
44	504	1738
45	513	1719
46	522	1699
47	532	1685
48	540	1667
49	549	1647
50	557	1628
51	564	1607
52	573	1590
53	581	1571
54	589	1553
55	597	1535
56	604	1517
57	611	1498
58	619	1481
59	627	1463
60	634	1446
61	642	1429
62	650	1415
63	658	1399
64	668	1388
65	677	1374
66	685	1360
67	692	1344
68	701	1332
69	708	1316
70	716	1302
71	725	1289
72	740	1288
73	754	1284
74	775	1292
75	788	1285
76	798	1275
77	812	1270
78	824	1262
79	834	1251
80	844	1240
81	854	1229
82	863	1217
83	872	1204
84	881	1192
85	889	1179
86	897	1166
87	905	1152
88	915	1141
89	923	1128
90	930	1115
91	938	1101
92	946	1089
93	954	1076
94	962	1064
95	970	1051
96	978	1039
97	991	1031
98	1000	1020
99	1008	1008
100	1016	996
101	1024	984
102	1038	977
103	1057	976
104	1073	970
105	1082	960
106	1091	948
107	1099	936
108	1107	924
109	1114	912
110	1122	899
111	1131	888
112	1138	876
113	1146	864
114	1154	853
115	1162	841
116	1170	830
117	1177	818
118	1184	806
119	1192	795
120	1199	783
121	1206	771
122	1213	759
123	1220	747
124	1227	736
125	1233	724
126	1240	713
127	1248	702
128	1255	691
129	1262	679
130	1269	668
131	1276	657
132	1284	646
133	1291	636
134	1299	625
135	1306	614
136	1313	604
137	1320	593
138	1327	582
139	1334	572
140	1341	561
141	1348	550
142	1355	540
143	1362	530
144	1370	519
145	1377	509
146	1384	499
147	1392	489
148	1398	478
149	1405	468
150	1412	458
151	1419	448
152	1426	438
153	1433	428
154	1441	418
155	1447	408
156	1454	398
157	1461	388
158	1468	378
159	1476	369
160	1483	359
161	1490	349
162	1497	339
163	1503	330
164	1510	320
165	1517	310
166	1524	301
167	1531	291
168	1538	282
169	1545	272
170	1552	263
171	1559	253
172	1566	244
173	1573	235
174	1580	225
175	1587	216
176	1593	207
177	1599	197
178	1606	188
179	1614	179
180	1621	170
181	1629	161
182	1636	152
183	1643	142
184	1650	133
185	1657	124
186	1664	115
187	1671	106
188	1678	97
189	1686	88
190	1692	79
191	1699	70
192	1707	61
193	1714	53
194	1721	44
195	1729	35
196	1736	26
197	1743	17
198	1750	8
199	1757	0
