"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"10/01/2017","81","Landmawe","65","City Square",196,100,386,150,81,276,239,127,450,264,135,517,161,88,296,133,75,237
"10/02/2017","81","Landmawe","65","City Square",419,169,1038,593,297,1181,671,339,1329,426,189,960,195,100,379,267,108,656
"10/03/2017","81","Landmawe","65","City Square",657,263,1640,713,355,1432,1006,515,1966,748,409,1366,329,131,828,329,130,831
"10/04/2017","81","Landmawe","65","City Square",606,242,1516,665,333,1328,917,519,1620,766,431,1359,238,111,510,208,97,444
"10/05/2017","81","Landmawe","65","City Square",674,275,1654,643,347,1194,997,497,1998,832,466,1485,393,152,1016,266,115,618
"10/06/2017","81","Landmawe","65","City Square",418,176,992,668,332,1346,590,277,1255,491,249,969,217,106,445,231,103,517
"10/07/2017","81","Landmawe","65","City Square",333,134,823,360,168,768,210,116,382,585,299,1145,222,100,494,189,91,391
"10/08/2017","81","Landmawe","65","City Square",195,100,380,186,88,393,173,97,308,240,132,436,171,91,323,172,85,351
"10/09/2017","81","Landmawe","65","City Square",419,175,1000,582,300,1129,552,263,1158,439,209,921,210,97,453,310,127,757
"10/10/2017","81","Landmawe","65","City Square",632,247,1618,658,335,1295,1121,613,2051,761,415,1394,265,112,626,209,99,440
"10/11/2017","81","Landmawe","65","City Square",488,197,1205,533,266,1069,748,328,1706,407,196,844,489,177,1348,283,109,733
"10/12/2017","81","Landmawe","65","City Square",633,251,1595,659,339,1281,1144,575,2277,773,405,1476,337,147,774,210,94,469
"10/13/2017","81","Landmawe","65","City Square",387,157,952,636,321,1258,484,216,1087,416,181,954,244,109,544,282,118,674
"10/14/2017","81","Landmawe","65","City Square",308,136,697,322,165,629,249,134,462,484,252,930,178,95,336,175,81,378
"10/15/2017","81","Landmawe","65","City Square",186,96,361,127,79,206,155,95,252,234,122,451,185,94,364,154,79,299
"10/16/2017","81","Landmawe","65","City Square",408,169,985,639,312,1309,745,342,1620,342,174,675,196,92,416,227,108,479
"10/17/2017","81","Landmawe","65","City Square",532,211,1344,575,278,1191,1002,518,1936,569,303,1067,204,96,433,258,88,754
"10/18/2017","81","Landmawe","65","City Square",556,222,1396,670,354,1269,1033,483,2210,622,353,1096,195,95,399,185,89,386
"10/19/2017","81","Landmawe","65","City Square",543,219,1346,549,294,1026,904,466,1756,696,383,1265,313,132,743,164,86,314
"10/20/2017","81","Landmawe","65","City Square",181,96,343,158,91,273,153,93,250,225,116,439,170,93,310,167,81,341
"10/21/2017","81","Landmawe","65","City Square",289,126,662,263,128,539,228,108,477,428,231,790,180,90,361,198,84,465
"10/22/2017","81","Landmawe","65","City Square",176,94,330,142,81,248,170,94,304,215,115,403,155,88,273,168,80,349
"10/23/2017","81","Landmawe","65","City Square",586,234,1467,588,297,1163,1039,558,1935,703,400,1236,271,114,640,198,93,420
"10/24/2017","81","Landmawe","65","City Square",578,223,1499,820,341,1975,662,348,1260,746,340,1633,295,130,667,220,95,506
"10/25/2017","81","Landmawe","65","City Square",188,97,364,190,97,368,216,109,429,190,101,358,170,94,308,196,91,420
"10/26/2017","81","Landmawe","65","City Square",173,86,345,119,76,187,128,85,192,164,85,318,203,90,456,197,90,433
"10/27/2017","81","Landmawe","65","City Square",211,100,446,242,114,514,213,103,441,248,114,536,135,77,239,211,90,494
"10/28/2017","81","Landmawe","65","City Square",177,96,327,153,96,242,157,91,272,213,112,403,154,88,269,161,82,316
"10/29/2017","81","Landmawe","65","City Square",163,87,304,134,73,245,145,89,236,184,97,347,143,81,254,193,88,425
"10/30/2017","81","Landmawe","65","City Square",492,207,1169,529,301,932,629,298,1326,621,323,1196,197,96,404,205,96,436
"10/31/2017","81","Landmawe","65","City Square",446,194,1020,558,293,1062,579,306,1097,500,263,950,207,98,437,249,106,587
"11/01/2017","81","Landmawe","65","City Square",618,239,1597,639,324,1260,1036,572,1877,720,387,1337,266,112,632,276,111,682
"11/02/2017","81","Landmawe","65","City Square",633,242,1652,558,270,1153,1057,579,1930,823,461,1469,262,110,623,238,106,534
"11/03/2017","81","Landmawe","65","City Square",685,267,1761,694,394,1222,1210,633,2314,820,437,1535,364,146,908,229,103,505
"11/04/2017","81","Landmawe","65","City Square",395,162,959,403,179,904,488,226,1053,592,292,1199,256,114,570,163,86,308
"11/05/2017","81","Landmawe","65","City Square",206,102,415,161,85,305,202,109,375,231,119,451,217,107,441,173,83,364
"11/06/2017","81","Landmawe","65","City Square",579,231,1449,643,302,1369,1049,514,2139,629,351,1126,291,119,708,273,115,645
"11/07/2017","81","Landmawe","65","City Square",645,263,1581,823,390,1736,1057,595,1878,681,385,1206,372,139,995,213,104,437
"11/08/2017","81","Landmawe","65","City Square",625,240,1625,692,349,1369,1076,575,2012,728,383,1385,256,109,601,235,103,535
"11/09/2017","81","Landmawe","65","City Square",611,242,1544,809,404,1619,874,450,1696,728,406,1304,266,115,617,189,93,382
"11/10/2017","81","Landmawe","65","City Square",742,266,2072,1069,498,2295,1260,645,2461,873,425,1790,428,158,1154,311,118,821
"11/11/2017","81","Landmawe","65","City Square",386,156,951,339,174,660,313,160,612,667,320,1390,233,110,495,237,101,554
"11/12/2017","81","Landmawe","65","City Square",227,105,488,201,94,428,240,122,470,314,152,649,183,91,367,158,78,320
"11/13/2017","81","Landmawe","65","City Square",605,235,1558,575,264,1253,1051,530,2084,701,380,1291,337,131,861,229,104,502
