"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"192","Cargen House","1","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3420,2654,4407
"192","Cargen House","3","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2115,1536,2912
"192","Cargen House","5","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1906,1290,2815
"192","Cargen House","6","Athi River Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2830,2052,3901
"192","Cargen House","7","Jirongo Flats","1/10/2017 - 1/12/2017, Every day, Daily Average",2478,1585,3874
"192","Cargen House","9","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",2433,1756,3370
"192","Cargen House","11","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2377,1627,3471
"192","Cargen House","12","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3134,2253,4359
"192","Cargen House","13","Foot Path","1/10/2017 - 1/12/2017, Every day, Daily Average",2733,1770,4219
"192","Cargen House","14","Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2740,1857,4041
"192","Cargen House","15","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2545,1738,3724
"192","Cargen House","16","Silanga Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1884,1230,2884
"192","Cargen House","17","Ole Kasasi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3324,2285,4835
"192","Cargen House","19","Kihara- Gacii- Karura Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1858,1283,2688
"192","Cargen House","20","Icipe Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1297,788,2133
"192","Cargen House","21","Carpenter's Workshop","1/10/2017 - 1/12/2017, Every day, Daily Average",2707,1837,3987
"192","Cargen House","22","Kiroe Chunga Mali Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2435,1852,3201
"192","Cargen House","23","Muhuri Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1577,1047,2373
"192","Cargen House","24","Ndege Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2321,1583,3401
"192","Cargen House","25","1000 Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2092,1347,3247
"192","Cargen House","26","Arena Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1104,677,1798
"192","Cargen House","27","Ngong Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2182,1342,3546
"192","Cargen House","28","Miotoni Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2873,1825,4522
"192","Cargen House","29","Mayor Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2161,1390,3358
"192","Cargen House","30","Kerwa","1/10/2017 - 1/12/2017, Every day, Daily Average",2316,1721,3116
"192","Cargen House","32","Hospital Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2849,1875,4328
"192","Cargen House","33","Limuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1549,1035,2318
"192","Cargen House","34","Neema Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3701,2594,5280
"192","Cargen House","35","Magadi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3562,2430,5221
"192","Cargen House","36","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1063,685,1647
"192","Cargen House","37","Riflo Workshop","1/10/2017 - 1/12/2017, Every day, Daily Average",1397,868,2248
"192","Cargen House","39","Kiambia-Gathanga Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1823,1180,2816
"192","Cargen House","40","Stage Mpya","1/10/2017 - 1/12/2017, Every day, Daily Average",1911,1136,3214
"192","Cargen House","41","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3118,1817,5349
"192","Cargen House","42","Eastern By Pass","1/10/2017 - 1/12/2017, Every day, Daily Average",2671,1638,4354
"192","Cargen House","44","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2493,1569,3960
"192","Cargen House","46","Magoko Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3365,2564,4415
"192","Cargen House","47","Ruiru Kamiti Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2435,1783,3323
"192","Cargen House","48","Kiambu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",620,349,1099
"192","Cargen House","49","Rd to Utawala Academy","1/10/2017 - 1/12/2017, Every day, Daily Average",1772,1086,2890
"192","Cargen House","51","First Freight Lane","1/10/2017 - 1/12/2017, Every day, Daily Average",1542,964,2464
"192","Cargen House","52","300 Ngong Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2409,1575,3684
"192","Cargen House","53","Bamburi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2982,1996,4454
"192","Cargen House","54","Muramati Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2602,1893,3576
"192","Cargen House","56","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1643,992,2718
"192","Cargen House","57","Getathuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1587,1051,2395
"192","Cargen House","58","Hekima Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2142,1438,3190
"192","Cargen House","59","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",746,433,1283
"192","Cargen House","60","Mutungoni Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3099,2195,4374
"192","Cargen House","61","Kinanda Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1705,1154,2517
"192","Cargen House","62","Lucky Twin Plaza Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1837,1237,2726
