"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","0 Muthithi Rd","1","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3470,2717,4431
"258","0 Muthithi Rd","3","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1775,1283,2454
"258","0 Muthithi Rd","5","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2222,1447,3411
"258","0 Muthithi Rd","7","Jirongo Flats","1/10/2017 - 1/12/2017, Every day, Daily Average",2797,1734,4509
"258","0 Muthithi Rd","9","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",2201,1628,2973
"258","0 Muthithi Rd","13","Foot Path","1/10/2017 - 1/12/2017, Every day, Daily Average",2205,1451,3349
"258","0 Muthithi Rd","14","Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3112,2070,4677
"258","0 Muthithi Rd","15","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2056,1422,2972
"258","0 Muthithi Rd","16","Silanga Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2360,1434,3882
"258","0 Muthithi Rd","19","Kihara- Gacii- Karura Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1818,1244,2655
"258","0 Muthithi Rd","20","Icipe Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1205,729,1991
"258","0 Muthithi Rd","21","Carpenter's Workshop","1/10/2017 - 1/12/2017, Every day, Daily Average",2166,1477,3175
"258","0 Muthithi Rd","22","Kiroe Chunga Mali Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2090,1440,3032
"258","0 Muthithi Rd","23","Muhuri Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1283,841,1956
"258","0 Muthithi Rd","24","Ndege Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2838,1893,4252
"258","0 Muthithi Rd","25","1000 Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2258,1467,3475
"258","0 Muthithi Rd","26","Arena Dr","1/10/2017 - 1/12/2017, Every day, Daily Average",1029,630,1679
"258","0 Muthithi Rd","27","Ngong Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2316,1491,3596
"258","0 Muthithi Rd","28","Miotoni Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2780,1880,4108
"258","0 Muthithi Rd","29","Mayor Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2496,1539,4047
"258","0 Muthithi Rd","30","Kerwa","1/10/2017 - 1/12/2017, Every day, Daily Average",1977,1385,2820
"258","0 Muthithi Rd","32","Hospital Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2272,1522,3389
"258","0 Muthithi Rd","33","Limuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1453,961,2194
"258","0 Muthithi Rd","36","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",930,591,1461
"258","0 Muthithi Rd","37","Riflo Workshop","1/10/2017 - 1/12/2017, Every day, Daily Average",1268,784,2050
"258","0 Muthithi Rd","39","Kiambia-Gathanga Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1697,1174,2450
"258","0 Muthithi Rd","40","Stage Mpya","1/10/2017 - 1/12/2017, Every day, Daily Average",2197,1376,3507
"258","0 Muthithi Rd","41","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2656,1805,3907
"258","0 Muthithi Rd","42","Eastern By Pass","1/10/2017 - 1/12/2017, Every day, Daily Average",2397,1654,3472
"258","0 Muthithi Rd","44","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2281,1420,3663
"258","0 Muthithi Rd","46","Magoko Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3065,2410,3897
"258","0 Muthithi Rd","47","Ruiru Kamiti Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2107,1585,2799
"258","0 Muthithi Rd","48","Kiambu Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",497,288,855
"258","0 Muthithi Rd","49","Rd to Utawala Academy","1/10/2017 - 1/12/2017, Every day, Daily Average",2127,1213,3727
"258","0 Muthithi Rd","51","First Freight Lane","1/10/2017 - 1/12/2017, Every day, Daily Average",1911,1131,3227
"258","0 Muthithi Rd","52","300 Ngong Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2631,1765,3921
"258","0 Muthithi Rd","53","Bamburi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3120,2142,4543
"258","0 Muthithi Rd","54","Muramati Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2459,1733,3489
"258","0 Muthithi Rd","56","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1439,865,2391
"258","0 Muthithi Rd","57","Getathuru Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1211,845,1733
"258","0 Muthithi Rd","58","Hekima Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2768,1754,4367
"258","0 Muthithi Rd","59","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",640,376,1088
"258","0 Muthithi Rd","61","Kinanda Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",1349,907,2005
