"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","1","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3420,2654,4407
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","3","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2115,1536,2912
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","5","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1906,1290,2815
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","6","Athi River Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2830,2052,3901
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","7","Jirongo Flats","1/10/2017 - 1/12/2017, Every day, Daily Average",2478,1585,3874
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","9","Meru - Nairobi Hwy","1/10/2017 - 1/12/2017, Every day, Daily Average",2433,1756,3370
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","11","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2377,1627,3471
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","12","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",3134,2253,4359
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","13","Foot Path","1/10/2017 - 1/12/2017, Every day, Daily Average",2733,1770,4219
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","14","Kangundo Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",2740,1857,4041
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","15","Unnamed Road","1/10/2017 - 1/12/2017, Every day, Daily Average",2545,1738,3724
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","16","Silanga Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1884,1230,2884
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","17","Ole Kasasi Rd","1/10/2017 - 1/12/2017, Every day, Daily Average",3324,2285,4835
"192","Rodina, PR8F+5CJ, Kimathi St, Nairobi","19","Kihara- Gacii- Karura Road","1/10/2017 - 1/12/2017, Every day, Daily Average",1858,1283,2688
